feature_name,impact_score,effort_score,reach,confidence_score,strategic_alignment
Feature_001,8,3,1313,0.5,Medium
Feature_002,5,5,5797,0.5,High
Feature_003,10,6,6990,0.5,Medium
Feature_004,8,10,3286,0.5,Low
Feature_005,4,4,2351,0.8,High
Feature_006,4,2,2671,0.8,Low
Feature_007,1,4,7643,0.8,Medium
Feature_008,8,9,5714,1.0,Medium
Feature_009,3,7,5102,1.0,High
Feature_010,9,3,7665,1.0,Low
Feature_011,5,3,387,0.8,Medium
Feature_012,10,2,792,1.0,High
Feature_013,3,6,2243,0.8,Low
Feature_014,9,4,2644,0.5,Medium
Feature_015,9,2,2473,0.5,High
Feature_016,6,4,4389,1.0,Low
Feature_017,8,7,2158,0.8,High
Feature_018,3,2,8160,0.8,Medium
Feature_019,3,8,3018,1.0,High
Feature_020,4,10,6345,0.5,Medium
Feature_021,7,4,6102,1.0,High
Feature_022,8,4,2869,1.0,Medium
Feature_023,4,8,9059,1.0,High
Feature_024,4,4,8708,0.8,Medium
Feature_025,5,10,1006,1.0,Low
Feature_026,10,6,8778,0.5,Low
Feature_027,3,10,8291,0.8,Low
Feature_028,3,10,2308,0.5,Medium
Feature_029,1,9,9468,1.0,Low
Feature_030,2,6,8751,1.0,Medium
Feature_031,7,3,4991,0.8,High
Feature_032,4,6,3780,0.8,Low
Feature_033,1,8,7656,0.8,High
Feature_034,1,6,8893,1.0,Medium
Feature_035,8,4,1282,0.8,Low
Feature_036,8,7,4946,0.8,High
Feature_037,2,9,3955,1.0,Low
Feature_038,1,8,2059,0.8,Low
Feature_039,9,1,5325,0.5,Low
Feature_040,9,4,9282,1.0,High
Feature_041,4,4,4545,0.5,Medium
Feature_042,10,5,9490,0.5,Medium
Feature_043,9,4,635,0.5,Low
Feature_044,9,8,4237,0.5,Low
Feature_045,6,10,1641,1.0,Medium
Feature_046,2,6,2185,0.8,Low
Feature_047,6,7,6626,1.0,Low
Feature_048,4,1,401,0.8,Low
Feature_049,10,9,3859,0.8,High
Feature_050,3,5,9454,0.5,Medium
Feature_051,1,6,9560,1.0,High
Feature_052,3,4,4693,0.8,High
Feature_053,1,4,105,1.0,High
Feature_054,4,6,144,0.8,Medium
Feature_055,9,5,3565,1.0,Medium
Feature_056,4,4,9338,0.5,Low
Feature_057,3,3,4200,1.0,Medium
Feature_058,6,8,5199,1.0,Medium
Feature_059,9,5,9080,0.5,High
Feature_060,6,4,5178,1.0,High
Feature_061,4,6,8004,1.0,High
Feature_062,8,4,3431,0.5,Medium
Feature_063,5,6,4355,0.8,Low
Feature_064,10,6,9723,1.0,High
Feature_065,3,4,4472,0.8,High
Feature_066,6,4,887,0.8,Low
Feature_067,4,10,6256,0.5,Medium
Feature_068,7,9,8591,0.8,Medium
Feature_069,6,7,870,1.0,Medium
Feature_070,10,2,9393,0.5,Medium
Feature_071,8,9,4946,1.0,Low
Feature_072,5,7,170,0.8,Medium
Feature_073,3,1,3819,1.0,Medium
Feature_074,10,9,7107,1.0,Medium
Feature_075,4,9,2095,0.5,High
Feature_076,9,8,6118,0.5,High
Feature_077,9,6,9451,0.5,High
Feature_078,3,1,6296,1.0,High
Feature_079,1,10,5346,0.8,Medium
Feature_080,7,7,7955,0.8,High
Feature_081,10,7,4023,0.8,Low
Feature_082,2,10,4968,1.0,Medium
Feature_083,8,7,9478,0.8,Low
Feature_084,4,3,2628,1.0,High
Feature_085,10,7,690,0.8,High
Feature_086,9,6,811,1.0,Medium
Feature_087,7,4,4223,0.8,High
Feature_088,2,7,4932,1.0,Low
Feature_089,10,8,2931,0.8,Low
Feature_090,4,2,6344,1.0,Medium
Feature_091,6,2,5809,0.5,High
Feature_092,6,1,8016,0.8,Low
Feature_093,7,1,2652,0.8,High
Feature_094,1,10,410,0.8,Medium
Feature_095,10,5,3351,0.5,Low
Feature_096,1,8,506,1.0,Low
Feature_097,4,5,1037,1.0,Medium
Feature_098,1,1,1110,1.0,Medium
Feature_099,10,9,2347,0.8,High
Feature_100,3,1,9877,0.8,Low
Feature_101,6,1,7871,1.0,High
Feature_102,7,2,5774,0.5,High
Feature_103,7,3,3267,0.5,Low
Feature_104,8,7,4993,0.5,Low
Feature_105,5,6,6313,0.5,Medium
Feature_106,2,5,2223,1.0,Low
Feature_107,6,8,3525,0.8,Medium
Feature_108,10,10,7564,0.5,Low
Feature_109,7,9,5594,1.0,Low
Feature_110,4,8,4238,0.5,Low
Feature_111,6,10,3774,0.5,Low
Feature_112,4,10,676,1.0,High
Feature_113,3,4,6963,0.5,High
Feature_114,9,5,4174,0.8,Low
Feature_115,5,1,7784,0.8,High
Feature_116,3,1,8546,1.0,Medium
Feature_117,10,10,6618,0.5,Low
Feature_118,3,3,5489,0.5,Medium
Feature_119,4,4,6454,0.5,Low
Feature_120,5,6,765,0.5,Low
Feature_121,3,10,3907,0.8,Low
Feature_122,2,4,604,1.0,High
Feature_123,10,8,3072,1.0,Medium
Feature_124,8,1,1882,1.0,Low
Feature_125,1,3,6751,0.8,High
Feature_126,1,3,1069,1.0,Low
Feature_127,4,9,2383,0.5,Medium
Feature_128,1,4,7547,0.8,Medium
Feature_129,4,1,3494,1.0,High
Feature_130,5,1,4232,0.8,High
Feature_131,5,3,9949,0.5,Low
Feature_132,3,8,7735,0.8,Medium
Feature_133,3,1,5582,0.5,Medium
Feature_134,7,4,1475,1.0,High
Feature_135,6,6,905,0.8,High
Feature_136,1,5,107,1.0,High
Feature_137,6,8,2943,0.5,High
Feature_138,4,8,8756,0.8,Medium
Feature_139,7,10,8500,0.8,High
Feature_140,3,6,6353,1.0,Medium
Feature_141,7,1,5537,1.0,Low
Feature_142,9,6,6630,1.0,Medium
Feature_143,1,3,9855,0.5,High
Feature_144,10,6,5434,0.5,Low
Feature_145,1,5,2357,0.5,High
Feature_146,1,2,403,0.5,Low
Feature_147,1,9,2645,0.8,Low
Feature_148,10,4,8037,0.5,Medium
Feature_149,8,2,1851,1.0,Medium
Feature_150,10,7,4502,0.8,Low
Feature_151,3,7,7035,0.5,Medium
Feature_152,3,6,4499,0.8,Medium
Feature_153,5,7,4482,1.0,Low
Feature_154,10,4,8137,0.5,Low
Feature_155,10,1,9451,1.0,Low
Feature_156,1,10,4086,0.8,Low
Feature_157,1,4,8525,0.5,Low
Feature_158,9,5,2140,0.5,Medium
Feature_159,8,5,9300,0.8,Low
Feature_160,10,2,981,1.0,Medium
Feature_161,4,3,2444,1.0,Medium
Feature_162,5,2,9027,0.5,Medium
Feature_163,9,7,1548,1.0,Low
Feature_164,9,3,9563,0.5,Low
Feature_165,7,10,8688,0.5,Low
Feature_166,6,1,9644,0.8,High
Feature_167,8,1,138,0.5,Low
Feature_168,7,8,8172,0.8,High
Feature_169,5,9,9568,1.0,Low
Feature_170,3,9,7004,0.8,High
Feature_171,5,6,7128,1.0,Low
Feature_172,9,8,4765,0.8,Low
Feature_173,8,6,5167,0.8,Medium
Feature_174,9,4,2600,1.0,Low
Feature_175,5,5,105,1.0,Medium
Feature_176,1,1,4649,0.8,High
Feature_177,2,1,132,0.5,High
Feature_178,9,8,4165,1.0,Low
Feature_179,3,10,7827,0.8,High
Feature_180,7,3,1789,1.0,High
Feature_181,1,5,5173,0.8,High
Feature_182,5,5,8982,0.8,High
Feature_183,10,1,2647,0.8,Low
Feature_184,1,1,3798,0.8,Medium
Feature_185,2,1,9509,0.5,Low
Feature_186,2,1,4441,1.0,Medium
Feature_187,3,9,3161,0.5,Medium
Feature_188,8,6,1916,1.0,Medium
Feature_189,7,9,8674,0.8,Low
Feature_190,10,6,7224,0.5,High
Feature_191,8,4,2815,0.8,Low
Feature_192,2,9,9645,0.5,High
Feature_193,2,9,5874,1.0,High
Feature_194,8,3,2333,0.5,Low
Feature_195,2,3,4793,0.5,Low
Feature_196,5,2,8848,0.5,Medium
Feature_197,9,5,8011,1.0,High
Feature_198,2,4,1195,0.5,Medium
Feature_199,8,2,7297,1.0,Medium
Feature_200,9,1,2756,0.5,High
