response_id,age_group,gender,city_tier,primary_hair_concern,hairfall_severity,current_brand,satisfaction_score,willingness_to_pay_inr,purchase_frequency,ingredient_preference,feedback_text
RESP_0001,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,7,150,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0002,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,7,250,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0003,55+,Female,Tier 2,Dryness,Mild (Seasonal),Head & Shoulders,2,699,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0004,35-44,Female,Tier 3,Hairfall,Mild (Seasonal),Pantene,4,399,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0005,18-24,Female,Tier 2,Oily Scalp,Severe (Visible Thinning),Dove,6,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0006,18-24,Female,Tier 1,Dryness,Severe (Visible Thinning),Generic/Ayurvedic,9,250,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0007,35-44,Female,Tier 3,Frizz,Moderate (Clumps),Generic/Ayurvedic,8,250,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0008,45-54,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,2,699,Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0009,18-24,Female,Tier 2,Dandruff,Severe (Visible Thinning),Mamaearth,4,399,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0010,18-24,Male,Tier 2,Dryness,Severe (Visible Thinning),Generic/Ayurvedic,6,499,Bi-Monthly,No Preference,Just marketing gimmicks.
RESP_0011,25-34,Female,Tier 2,Dryness,Severe (Visible Thinning),Pantene,4,499,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0012,18-24,Female,Tier 3,Frizz,Moderate (Clumps),Head & Shoulders,8,699,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0013,25-34,Male,Tier 1,Oily Scalp,Moderate (Clumps),Head & Shoulders,6,499,Bi-Monthly,No Preference,Just marketing gimmicks.
RESP_0014,25-34,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,9,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0015,35-44,Male,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,9,399,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0016,55+,Male,Tier 2,Oily Scalp,Severe (Visible Thinning),Generic/Ayurvedic,6,999,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0017,25-34,Female,Tier 2,Hairfall,Moderate (Clumps),Pantene,4,250,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0018,25-34,Male,Tier 1,Dandruff,Moderate (Clumps),Mamaearth,7,499,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0019,35-44,Male,Tier 2,Hairfall,Severe (Visible Thinning),Tresemme,6,499,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0020,55+,Male,Tier 3,Oily Scalp,Moderate (Clumps),Mamaearth,7,399,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0021,35-44,Female,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,5,499,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0022,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,5,250,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0023,35-44,Male,Tier 2,Hairfall,Mild (Seasonal),Pantene,8,399,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0024,18-24,Female,Tier 2,Dandruff,Mild (Seasonal),Generic/Ayurvedic,7,499,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0025,25-34,Male,Tier 2,Hairfall,Severe (Visible Thinning),Head & Shoulders,8,399,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0026,35-44,Male,Tier 1,Dryness,Mild (Seasonal),Dove,3,699,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0027,45-54,Female,Tier 1,Dryness,Severe (Visible Thinning),Head & Shoulders,8,399,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0028,55+,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,7,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0029,55+,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,4,399,Monthly,No Preference,I need a solution for post-partum hair loss.
RESP_0030,18-24,Female,Tier 3,Dandruff,Severe (Visible Thinning),Pantene,3,699,Bi-Monthly,No Preference,Just marketing gimmicks.
RESP_0031,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Mamaearth,6,399,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0032,25-34,Male,Tier 2,Frizz,Mild (Seasonal),Head & Shoulders,7,699,Quarterly,No Preference,I need a solution for post-partum hair loss.
RESP_0033,25-34,Male,Tier 1,Hairfall,Moderate (Clumps),Pantene,10,250,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0034,25-34,Female,Tier 3,Hairfall,Mild (Seasonal),Mamaearth,6,250,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0035,45-54,Female,Tier 3,Hairfall,Mild (Seasonal),Tresemme,5,399,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0036,45-54,Male,Tier 3,Hairfall,Severe (Visible Thinning),Pantene,5,399,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0037,45-54,Female,Tier 3,Oily Scalp,Moderate (Clumps),Dove,5,499,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0038,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,5,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0039,35-44,Female,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,7,499,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0040,45-54,Female,Tier 1,Hairfall,Mild (Seasonal),Pantene,4,250,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0041,18-24,Female,Tier 3,Dandruff,Mild (Seasonal),Generic/Ayurvedic,3,699,Monthly,No Preference,Made my hair dry but stopped fall.
RESP_0042,25-34,Female,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,1,699,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0043,25-34,Other,Tier 1,Dryness,Mild (Seasonal),Head & Shoulders,4,499,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0044,25-34,Female,Tier 2,Hairfall,Moderate (Clumps),Generic/Ayurvedic,1,699,Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0045,35-44,Male,Tier 1,Hairfall,Moderate (Clumps),Generic/Ayurvedic,3,699,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0046,18-24,Female,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,7,399,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0047,18-24,Female,Tier 1,Dandruff,Severe (Visible Thinning),Mamaearth,9,699,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0048,35-44,Female,Tier 3,Oily Scalp,Mild (Seasonal),Dove,8,250,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0049,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,3,699,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0050,35-44,Female,Tier 1,Hairfall,Mild (Seasonal),Dove,1,699,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0051,25-34,Male,Tier 1,Dryness,Moderate (Clumps),Mamaearth,10,250,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0052,25-34,Male,Tier 3,Dandruff,Severe (Visible Thinning),Pantene,1,699,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0053,18-24,Female,Tier 1,Frizz,Severe (Visible Thinning),Head & Shoulders,9,250,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0054,45-54,Male,Tier 3,Hairfall,Severe (Visible Thinning),Head & Shoulders,9,999,Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0055,25-34,Female,Tier 1,Oily Scalp,Moderate (Clumps),Tresemme,8,699,Bi-Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0056,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,7,699,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0057,25-34,Male,Tier 1,Frizz,Severe (Visible Thinning),Generic/Ayurvedic,5,250,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0058,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,8,250,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0059,35-44,Female,Tier 2,Hairfall,Mild (Seasonal),Tresemme,3,699,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0060,18-24,Female,Tier 1,Dryness,Mild (Seasonal),Head & Shoulders,5,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0061,55+,Male,Tier 2,Hairfall,Moderate (Clumps),Dove,7,699,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0062,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Tresemme,3,699,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0063,25-34,Female,Tier 1,Frizz,Moderate (Clumps),Head & Shoulders,5,499,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0064,45-54,Male,Tier 3,Frizz,Mild (Seasonal),Generic/Ayurvedic,10,399,Quarterly,No Preference,I prefer natural smell.
RESP_0065,18-24,Female,Tier 2,Dandruff,Severe (Visible Thinning),Head & Shoulders,10,399,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0066,18-24,Female,Tier 1,Oily Scalp,Mild (Seasonal),Tresemme,8,250,Quarterly,No Preference,I prefer natural smell.
RESP_0067,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,9,250,Quarterly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0068,25-34,Male,Tier 1,Oily Scalp,Mild (Seasonal),Head & Shoulders,5,399,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0069,25-34,Female,Tier 1,Dandruff,Severe (Visible Thinning),Head & Shoulders,9,399,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0070,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Pantene,8,399,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0071,35-44,Female,Tier 3,Hairfall,Moderate (Clumps),Dove,6,499,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0072,35-44,Male,Tier 2,Hairfall,Moderate (Clumps),Mamaearth,9,250,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0073,25-34,Female,Tier 2,Hairfall,Moderate (Clumps),Dove,10,399,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0074,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,7,999,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0075,35-44,Male,Tier 3,Oily Scalp,Moderate (Clumps),Dove,6,699,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0076,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,3,699,Bi-Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0077,25-34,Male,Tier 2,Frizz,Mild (Seasonal),Generic/Ayurvedic,8,250,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0078,25-34,Female,Tier 1,Dandruff,Severe (Visible Thinning),Mamaearth,10,699,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0079,45-54,Male,Tier 1,Dandruff,Severe (Visible Thinning),Head & Shoulders,6,399,Bi-Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0080,35-44,Male,Tier 2,Hairfall,Mild (Seasonal),Pantene,7,499,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0081,18-24,Male,Tier 2,Dryness,Severe (Visible Thinning),Dove,9,499,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0082,25-34,Male,Tier 2,Frizz,Severe (Visible Thinning),Generic/Ayurvedic,7,250,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0083,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,10,250,Bi-Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0084,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,3,699,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0085,25-34,Female,Tier 1,Oily Scalp,Mild (Seasonal),Dove,3,699,Bi-Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0086,25-34,Female,Tier 1,Frizz,Mild (Seasonal),Generic/Ayurvedic,3,699,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0087,18-24,Male,Tier 3,Hairfall,Mild (Seasonal),Pantene,3,699,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0088,25-34,Male,Tier 1,Hairfall,Mild (Seasonal),Pantene,6,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0089,25-34,Female,Tier 2,Hairfall,Severe (Visible Thinning),Dove,2,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0090,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,10,499,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0091,25-34,Male,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,10,250,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0092,55+,Male,Tier 3,Dandruff,Mild (Seasonal),Pantene,1,699,Quarterly,No Preference,I want something that actually stops hairfall.
RESP_0093,18-24,Female,Tier 2,Hairfall,Moderate (Clumps),Mamaearth,5,399,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0094,18-24,Female,Tier 3,Hairfall,Moderate (Clumps),Tresemme,8,399,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0095,25-34,Male,Tier 2,Frizz,Moderate (Clumps),Mamaearth,9,499,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0096,35-44,Male,Tier 1,Dryness,Moderate (Clumps),Dove,10,699,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0097,45-54,Male,Tier 1,Hairfall,Mild (Seasonal),Dove,4,399,Quarterly,Chemical/Scientific,Just marketing gimmicks.
RESP_0098,18-24,Female,Tier 2,Oily Scalp,Mild (Seasonal),Generic/Ayurvedic,4,699,Bi-Monthly,No Preference,Too expensive for daily use.
RESP_0099,18-24,Male,Tier 3,Hairfall,Moderate (Clumps),Pantene,8,399,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0100,35-44,Female,Tier 2,Dryness,Moderate (Clumps),Dove,3,699,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0101,18-24,Male,Tier 3,Dryness,Severe (Visible Thinning),Mamaearth,7,150,Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0102,25-34,Male,Tier 1,Dryness,Severe (Visible Thinning),Dove,6,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0103,18-24,Male,Tier 1,Dandruff,Moderate (Clumps),Tresemme,7,399,Bi-Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0104,18-24,Female,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,6,399,Monthly,No Preference,Too expensive for daily use.
RESP_0105,18-24,Female,Tier 1,Dandruff,Mild (Seasonal),Pantene,3,699,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0106,55+,Male,Tier 2,Oily Scalp,Severe (Visible Thinning),Dove,2,699,Quarterly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0107,18-24,Male,Tier 3,Dandruff,Mild (Seasonal),Dove,1,699,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0108,45-54,Female,Tier 3,Oily Scalp,Moderate (Clumps),Tresemme,10,499,Quarterly,No Preference,I need a solution for post-partum hair loss.
RESP_0109,25-34,Female,Tier 1,Dryness,Mild (Seasonal),Dove,3,699,Quarterly,No Preference,Good but causes dandruff.
RESP_0110,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,9,250,Quarterly,Chemical/Scientific,Nothing works on my scalp.
RESP_0111,18-24,Female,Tier 2,Dryness,Severe (Visible Thinning),Pantene,6,499,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0112,18-24,Female,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,6,399,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0113,25-34,Male,Tier 3,Hairfall,Moderate (Clumps),Pantene,10,399,Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0114,35-44,Male,Tier 1,Hairfall,Severe (Visible Thinning),Dove,2,699,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0115,25-34,Male,Tier 1,Dandruff,Moderate (Clumps),Head & Shoulders,9,250,Monthly,No Preference,Made my hair dry but stopped fall.
RESP_0116,25-34,Female,Tier 2,Dandruff,Severe (Visible Thinning),Mamaearth,10,250,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0117,25-34,Male,Tier 1,Dryness,Severe (Visible Thinning),Tresemme,9,699,Bi-Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0118,25-34,Male,Tier 1,Frizz,Moderate (Clumps),Tresemme,2,699,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0119,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,3,699,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0120,45-54,Male,Tier 2,Hairfall,Severe (Visible Thinning),Head & Shoulders,7,399,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0121,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,9,499,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0122,45-54,Female,Tier 2,Hairfall,Severe (Visible Thinning),Dove,5,150,Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0123,45-54,Male,Tier 1,Oily Scalp,Severe (Visible Thinning),Mamaearth,3,699,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0124,25-34,Female,Tier 3,Hairfall,Mild (Seasonal),Mamaearth,4,399,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0125,25-34,Female,Tier 3,Frizz,Severe (Visible Thinning),Pantene,8,499,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0126,18-24,Female,Tier 2,Dandruff,Mild (Seasonal),Head & Shoulders,8,399,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0127,35-44,Male,Tier 2,Oily Scalp,Severe (Visible Thinning),Tresemme,10,699,Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0128,25-34,Female,Tier 1,Frizz,Moderate (Clumps),Tresemme,2,699,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0129,18-24,Female,Tier 3,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,8,150,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0130,35-44,Male,Tier 1,Hairfall,Moderate (Clumps),Mamaearth,9,250,Bi-Monthly,No Preference,I need a solution for post-partum hair loss.
RESP_0131,18-24,Female,Tier 2,Dandruff,Mild (Seasonal),Mamaearth,2,699,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0132,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,4,250,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0133,25-34,Male,Tier 3,Hairfall,Mild (Seasonal),Tresemme,9,250,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0134,35-44,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,2,699,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0135,35-44,Female,Tier 2,Dandruff,Moderate (Clumps),Dove,6,699,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0136,25-34,Female,Tier 3,Hairfall,Moderate (Clumps),Dove,9,399,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0137,18-24,Female,Tier 2,Hairfall,Moderate (Clumps),Head & Shoulders,1,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0138,25-34,Male,Tier 3,Dandruff,Moderate (Clumps),Tresemme,10,399,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0139,18-24,Female,Tier 3,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,10,399,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0140,25-34,Female,Tier 3,Frizz,Moderate (Clumps),Head & Shoulders,1,699,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0141,25-34,Female,Tier 1,Dryness,Mild (Seasonal),Dove,7,699,Monthly,No Preference,I want something that actually stops hairfall.
RESP_0142,45-54,Female,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,6,999,Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0143,35-44,Female,Tier 1,Dandruff,Severe (Visible Thinning),Tresemme,5,250,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0144,45-54,Female,Tier 1,Hairfall,Mild (Seasonal),Dove,10,499,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0145,18-24,Male,Tier 2,Dandruff,Moderate (Clumps),Dove,4,399,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0146,18-24,Male,Tier 3,Dryness,Severe (Visible Thinning),Head & Shoulders,8,399,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0147,25-34,Male,Tier 3,Dandruff,Mild (Seasonal),Mamaearth,4,399,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0148,35-44,Female,Tier 1,Hairfall,Mild (Seasonal),Tresemme,8,399,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0149,18-24,Female,Tier 3,Hairfall,Mild (Seasonal),Tresemme,5,399,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0150,35-44,Female,Tier 2,Hairfall,Mild (Seasonal),Head & Shoulders,3,699,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0151,55+,Male,Tier 1,Dandruff,Moderate (Clumps),Generic/Ayurvedic,7,699,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0152,45-54,Male,Tier 2,Hairfall,Moderate (Clumps),Generic/Ayurvedic,4,499,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0153,18-24,Male,Tier 3,Dryness,Mild (Seasonal),Tresemme,7,399,Quarterly,Chemical/Scientific,I prefer natural smell.
RESP_0154,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Mamaearth,5,399,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0155,25-34,Male,Tier 3,Oily Scalp,Severe (Visible Thinning),Tresemme,1,699,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0156,18-24,Male,Tier 1,Frizz,Mild (Seasonal),Tresemme,2,699,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0157,35-44,Female,Tier 1,Hairfall,Severe (Visible Thinning),Mamaearth,1,699,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0158,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,5,399,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0159,45-54,Female,Tier 1,Hairfall,Moderate (Clumps),Generic/Ayurvedic,1,699,Quarterly,Chemical/Scientific,Nothing works on my scalp.
RESP_0160,18-24,Female,Tier 1,Oily Scalp,Moderate (Clumps),Pantene,6,499,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0161,18-24,Female,Tier 1,Frizz,Mild (Seasonal),Generic/Ayurvedic,4,399,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0162,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,5,150,Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0163,25-34,Female,Tier 2,Dryness,Mild (Seasonal),Head & Shoulders,6,399,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0164,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,3,699,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
